,Image,F1,Jaccard,Recall,Precision
41,45.jpg,0.9910325390725083,0.9822244794311833,0.995880535530381,0.9862315145334013
42,1515.jpg,0.950093808630394,0.9049320943531094,0.9867498051441933,0.9160636758321273
43,2669.jpg,0.6706337399583457,0.5044762757385854,0.5903614457831325,0.7761707988980716
44,604.jpg,0.955077770929263,0.9140180430256766,0.9744746966558153,0.9364379665837185
45,1513.jpg,0.932753164556962,0.8739807264640475,0.9816819317235637,0.8884702336096458
46,859.jpg,0.0,0.0,0.0,0.0
47,1878.jpg,0.978446674098848,0.9578028373954165,0.9951809505811207,0.9622658748286889
48,1309.jpg,0.9571053399474759,0.9177392277560157,0.9885473176612417,0.9276018099547512
49,2813.jpg,0.7982885085574573,0.6642929806714141,0.8447606727037517,0.7566628041714948
50,2350.jpg,0.9585167626142905,0.9203381563973337,0.9789036832094069,0.9389616851882567
51,1844.jpg,0.8710462287104623,0.771551724137931,0.8605769230769231,0.8817733990147784
52,1551.jpg,0.9632313472893183,0.9290706704633704,0.99528563505269,0.9331773270930838
53,2044.jpg,0.9569288389513108,0.9174147217235189,0.988394584139265,0.9274047186932849
54,1068.jpg,0.9733443253641111,0.9480728051391863,0.9904921700223713,0.9567801188546732
55,1032.jpg,0.967306198075429,0.9366824863988887,0.9689857502095558,0.9656324582338902
56,1440.jpg,0.8138957816377173,0.6861924686192469,0.9213483146067416,0.7288888888888889
57,1261.jpg,0.9684820135872592,0.938890088533794,0.9724893759785282,0.9645075421472937
58,1035.jpg,0.8991842710729974,0.8168345050351511,0.9366013071895425,0.8646419951729686
59,880.jpg,0.9602220166512488,0.9234875444839857,0.9822569198012775,0.939154037548066
60,2406.jpg,0.8318042813455658,0.7120418848167539,0.9714285714285714,0.7272727272727273
61,2214.jpg,0.0,0.0,0.0,0.0
62,1528.jpg,0.9309145129224652,0.8707577870757787,0.9868282402528978,0.8809971777986829
63,99.jpg,0.9790838538709067,0.959024752016316,0.9874952271859488,0.9708145645645646
64,2492.jpg,0.0,0.0,0.0,0.0
65,2556.jpg,0.9659513156896945,0.9341449105309475,0.9828703703703704,0.9496048904130013
66,655.jpg,0.9337217771303714,0.8756830601092896,0.993798449612403,0.8804945054945055
67,2797.jpg,0.7854104910426601,0.6466468590831919,0.8123167155425219,0.7602295409181636
68,411.jpg,0.9159644375724778,0.8449579232634432,0.934090192368338,0.8985287426057941
69,2625.jpg,0.8609590540836435,0.7558631295655517,0.966093366093366,0.7764612954186414
70,2216.jpg,0.0,0.0,0.0,0.0
71,2285.jpg,0.9663967234478266,0.934978386167147,0.9684701492537313,0.9643321567898941
72,2724.jpg,0.8934618390205783,0.8074387947269304,0.9134487350199734,0.8743308692327301
73,2247.jpg,0.9710236619005441,0.9436792916871618,0.9884080370942813,0.9542402387465805
74,777.jpg,0.9444708115804461,0.8947841726618705,0.9641472868217055,0.9255813953488372
75,1163.jpg,0.8992537313432837,0.8169491525423729,0.8806333739342266,0.9186785260482846
76,2081.jpg,0.9543287713363064,0.9126470588235294,0.974866478165253,0.9346385542168675
77,335.jpg,0.2101078932424759,0.11738578680203046,0.9158415841584159,0.11866581141757537
78,1273.jpg,0.9207807118254879,0.8531914893617021,0.9524940617577197,0.8911111111111111
79,447.jpg,0.8411260709914321,0.7258132657372202,0.9357298474945533,0.7638950644730992
80,224.jpg,0.0,0.0,0.0,0.0
81,2534.jpg,0.9513244283450306,0.907167530224525,0.9682027649769586,0.9350244770805518
82,2014.jpg,0.8625592417061613,0.7583333333333333,0.9680851063829787,0.7777777777777778
83,330.jpg,0.20717579574850972,0.11555834378920954,0.7694235588972431,0.1197036651936574
84,1201.jpg,0.9537279552994586,0.9115487316421896,0.9410751206064782,0.9667256637168141
85,1391.jpg,0.5310734463276836,0.36153846153846153,0.9791666666666666,0.3643410852713178
86,2668.jpg,0.6042526182164393,0.43292405638926784,0.5007890583903208,0.7616
87,1863.jpg,0.9711843242724042,0.9439828213985623,0.977285907597139,0.9651584574264986
88,93.jpg,0.9807361002349256,0.96220036877689,0.9814021523351791,0.9800709515859767
89,2737.jpg,0.9157949249093734,0.8446694688574704,0.9404382046373112,0.8924101735970933
90,1259.jpg,0.9699620880723244,0.9416761041902605,0.9634994206257242,0.9765120375807399
91,2705.jpg,0.7696969696969695,0.625615763546798,0.859075535512965,0.6971637694419031
92,1665.jpg,0.8870238863783085,0.796983758700696,0.893368010403121,0.8807692307692307
93,2811.jpg,0.821599045346062,0.6972151898734177,0.8832584990378448,0.7679866146123815
94,1360.jpg,0.9781473602784762,0.9572293716881151,0.9889207507820647,0.9676061726820558
95,1312.jpg,0.9535962877030163,0.9113082039911308,0.9593837535014006,0.9478782287822878
96,1027.jpg,0.9691767112929768,0.9401967552640663,0.9760795556351908,0.9623708152990018
97,2497.jpg,0.0,0.0,0.0,0.0
98,881.jpg,0.957169459962756,0.9178571428571428,0.9857851985559567,0.9301681924632744
99,346.jpg,0.2221507279015523,0.12495475931958017,0.9127561136814276,0.12646520146520146
100,2559.jpg,0.9530845954931658,0.9103740296400847,0.946441672780631,0.9598214285714286
101,2818.jpg,0.7843487582633553,0.6452087007642563,0.8233308327081771,0.748891163425452
102,1546.jpg,0.962085308056872,0.9269406392694064,0.9911504424778761,0.9346762589928057
103,1019.jpg,0.8725418790968682,0.7739018087855297,0.854493580599144,0.8913690476190477
104,1377.jpg,0.8348909657320872,0.7165775401069518,0.9370629370629371,0.7528089887640449
105,1483.jpg,0.6558891454965358,0.4879725085910653,0.6068376068376068,0.7135678391959799
106,1234.jpg,0.9766673549452819,0.9543987086359967,0.9926547743966422,0.9611867506604349
107,2414.jpg,0.9379084967320261,0.8830769230769231,0.9641657334826428,0.9130434782608695
108,1299.jpg,0.8809704321455648,0.7872628726287263,0.9880952380952381,0.7948016415868673
109,385.jpg,0.8870494688131395,0.7970250644178964,0.9670314054284497,0.8192872622200819
110,2763.jpg,0.8037044493658143,0.6718276674520364,0.7855175127902401,0.8227535037098104
111,387.jpg,0.9089609832785479,0.8331150117893634,0.9650986342943855,0.8589951377633711
112,1382.jpg,0.34499396863691195,0.20845481049562684,0.9794520547945206,0.20937042459736457
113,377.jpg,0.7325550543910851,0.5779778103412183,0.9226399331662489,0.6074139258607414
114,665.jpg,0.8290155440414507,0.7079646017699115,0.9876543209876543,0.7142857142857143
115,1676.jpg,0.0,0.0,0.0,0.0
116,2226.jpg,0.0,0.0,0.0,0.0
117,1357.jpg,0.9790747510399597,0.9590072848499814,0.9906887755102041,0.9677298778968353
118,1635.jpg,0.9751603154713644,0.9515247410817032,0.995185798104408,0.9559248554913294
119,61.jpg,0.9881134969325154,0.9765062523683213,0.9953650057937428,0.980966882375333
120,1722.jpg,0.0,0.0,0.0,0.0
121,140.jpg,0.9659800540590922,0.9341986659455561,0.9862961553102398,0.9464840182648402
122,2270.jpg,0.0,0.0,0.0,0.0
123,1705.jpg,0.978801360900288,0.9584828293182983,0.9920424403183024,0.9659090909090909
124,95.jpg,0.9789562708322969,0.9587799649191191,0.9839,0.974061974061974
125,368.jpg,0.44969444969444966,0.29006827048114436,0.9141905737704918,0.29818698303951874
126,36.jpg,0.9904350509102129,0.9810513447432763,0.9962756052141527,0.9846625766871165
127,2312.jpg,0.8100686498855836,0.6807692307692308,0.7165991902834008,0.9315789473684211
128,1176.jpg,0.9079790331974373,0.8314666666666667,0.8627559490868844,0.9582052858020897
129,1235.jpg,0.9782372143634386,0.9574014909478168,0.990306234853492,0.9664588260589121
130,427.jpg,0.6915032679738562,0.5284715284715285,0.6933158584534731,0.6897001303780965
131,1332.jpg,0.972385833397078,0.9462557689444693,0.9909572809479265,0.9544976723231716
132,304.jpg,0.8224445752403375,0.6984338553815395,0.9282550930026572,0.7382881296231067
133,2196.jpg,0.0,0.0,0.0,0.0
134,2351.jpg,0.9560323027979444,0.9157680887638694,0.9750415973377704,0.937750040006401
135,2221.jpg,0.9115523465703972,0.8374792703150912,0.9805825242718447,0.851602023608769
136,134.jpg,0.9620754094756514,0.9269222622325779,0.9715808170515098,0.9527541911604616
137,2338.jpg,0.9518267929634642,0.9080815904983217,0.9769444444444444,0.9279683377308707
138,1880.jpg,0.9785734691934102,0.9580458698489651,0.991509069857198,0.9659710471893213
139,2076.jpg,0.9595657057281918,0.9222741993522849,0.9712012125805229,0.948205697373289
140,1857.jpg,0.9657163857825378,0.9337055837563452,0.9726099830795262,0.958919820665207
141,1179.jpg,0.9521008403361344,0.9085805934242182,0.9549093973872735,0.9493087557603687
142,117.jpg,0.9807533112582781,0.962233502538071,0.9901107319451216,0.9715711064033349
